variant,profile,mode,count,cycles_per_txn,accepted_per_cycle,min,mean,p50,p95,p99,max,throughput_txn_per_cycle
b2,25pct_Q8ENC_75pct_other,Q8_ENC,50326,7.9706,0.125461,37,149.921,149,201,226,304,0.031570
b2,25pct_Q8ENC_75pct_other,Q8_DEC,49708,7.9706,0.125461,9,138.262,137,187,210,290,0.031182
b2,25pct_Q8ENC_75pct_other,Q4_ENC,49952,7.9706,0.125461,10,146.612,145,196,219,286,0.031335
b2,25pct_Q8ENC_75pct_other,Q4_DEC,50014,7.9706,0.125461,9,138.113,137,187,210,290,0.031374
b2,40pct_Q8ENC_60pct_other,Q8_ENC,79703,9.8584,0.101436,24,182.581,182,242,272,341,0.040424
b2,40pct_Q8ENC_60pct_other,Q8_DEC,39918,9.8584,0.101436,27,168.508,167,227,254,333,0.020246
b2,40pct_Q8ENC_60pct_other,Q4_ENC,40257,9.8584,0.101436,55,174.640,173,231,258,322,0.020418
b2,40pct_Q8ENC_60pct_other,Q4_DEC,40122,9.8584,0.101436,34,168.269,167,227,253,324,0.020349
b2,60pct_Q8ENC_40pct_other,Q8_ENC,120050,13.3491,0.074911,24,239.379,239,306,331,393,0.044966
b2,60pct_Q8ENC_40pct_other,Q8_DEC,28038,13.3491,0.074911,14,222.152,221,286,311,368,0.010502
b2,60pct_Q8ENC_40pct_other,Q4_ENC,25854,13.3491,0.074911,88,225.845,226,288,318,372,0.009684
b2,60pct_Q8ENC_40pct_other,Q4_DEC,26058,13.3491,0.074911,14,222.198,221,286,310,371,0.009760
b2,100pct_Q8_ENC,Q8_ENC,200000,21.7082,0.046066,24,368.025,364,390,392,402,0.046066
b2,100pct_Q8_DEC,Q8_DEC,200000,2.0200,0.495053,9,52.768,53,94,106,129,0.495053
b2,100pct_Q4_ENC,Q4_ENC,200000,18.7082,0.053452,21,317.026,313,339,341,354,0.053452
b2,100pct_Q4_DEC,Q4_DEC,200000,2.0267,0.493417,9,52.370,52,94,105,129,0.493417
b2,alt_Q8ENC_Q4DEC,Q8_ENC,100000,10.8533,0.092138,26,195.353,194,207,209,219,0.046069
b2,alt_Q8ENC_Q4DEC,Q4_DEC,100000,10.8533,0.092138,26,196.359,195,208,211,229,0.046069
b2,alt_Q8ENC_Q8DEC,Q8_ENC,100000,10.8534,0.092137,25,195.357,194,207,209,220,0.046069
b2,alt_Q8ENC_Q8DEC,Q8_DEC,100000,10.8534,0.092137,25,196.350,195,208,211,222,0.046069
b2,alt_Q4ENC_Q4DEC,Q4_ENC,100000,9.3533,0.106914,22,168.361,167,180,182,194,0.053457
b2,alt_Q4ENC_Q4DEC,Q4_DEC,100000,9.3533,0.106914,23,169.306,168,180,183,193,0.053457
b2,adversarial_HOL_pattern,Q8_ENC,33334,4.2845,0.233397,24,77.377,80,83,86,94,0.038900
b2,adversarial_HOL_pattern,Q8_DEC,100000,4.2845,0.233397,24,82.971,84,93,96,111,0.116699
b2,adversarial_HOL_pattern,Q4_DEC,66666,4.2845,0.233397,30,84.268,86,92,95,107,0.077798
b3l2,uniform_random_modes,Q8_ENC,49993,7.3493,0.136067,12,159.484,158,215,241,305,0.034012
b3l2,uniform_random_modes,Q8_DEC,49544,7.3493,0.136067,44,148.396,147,201,226,304,0.033706
b3l2,uniform_random_modes,Q4_ENC,50256,7.3493,0.136067,48,156.706,155,211,234,297,0.034191
b3l2,uniform_random_modes,Q4_DEC,50207,7.3493,0.136067,10,148.072,147,202,227,300,0.034158
b3l2,realistic_reconstructed_mix_SIMULATED,Q8_ENC,40217,5.3591,0.186597,25,121.302,119,179,206,271,0.037522
b3l2,realistic_reconstructed_mix_SIMULATED,Q8_DEC,79757,5.3591,0.186597,10,109.215,106,164,190,260,0.074412
b3l2,realistic_reconstructed_mix_SIMULATED,Q4_ENC,20062,5.3591,0.186597,26,114.741,113,168,195,256,0.018718
b3l2,realistic_reconstructed_mix_SIMULATED,Q4_DEC,59964,5.3591,0.186597,11,109.085,106,163,190,260,0.055946
b3l2,10pct_Q8ENC_90pct_other,Q8_ENC,19935,6.3907,0.156478,39,134.785,133,187,210,281,0.015597
b3l2,10pct_Q8ENC_90pct_other,Q8_DEC,60134,6.3907,0.156478,37,128.614,127,182,206,266,0.047048
b3l2,10pct_Q8ENC_90pct_other,Q4_ENC,60054,6.3907,0.156478,22,139.913,139,195,220,289,0.046986
b3l2,10pct_Q8ENC_90pct_other,Q4_DEC,59877,6.3907,0.156478,36,128.679,127,182,206,274,0.046847
b3l2,20pct_Q8ENC_80pct_other,Q8_ENC,39950,6.9072,0.144777,24,149.299,148,202,228,291,0.028919
b3l2,20pct_Q8ENC_80pct_other,Q8_DEC,54143,6.9072,0.144777,23,139.446,138,191,214,284,0.039193
b3l2,20pct_Q8ENC_80pct_other,Q4_ENC,53936,6.9072,0.144777,24,149.095,148,202,225,280,0.039043
